date,open_sandp_500,high_sandp_500,low_sandp_500,close_sandp_500,volume_sandp_500,value_fed_rate,open_gold_price,high_gold_price,low_gold_price,close_gold_price,volume_gold_price,value_oil_price,open_dow_jone,high_dow_jone,low_dow_jone,close_dow_jone,volume_dow_jone
2020-04-07,2738.65,2756.89,2657.67,2659.41,7.04072E9,0.05,1669.7,1677.0,1662.5,1665.4,747.0,0.05,23537.44,23617.24,22634.45,22653.86,5.9466E8
2020-04-08,2685.0,2760.75,2663.3,2749.98,5.85637E9,0.05,1662.7,1736.2,1662.7,1736.2,825.0,0.05,22893.47,23513.4,22682.99,23433.57,4.7274E8
2020-04-09,2776.99,2818.57,2762.36,2789.82,7.88014E9,0.05,1722.0,1756.8,1710.7,1744.8,696.0,0.05,23690.66,24008.99,23504.09,23719.37,5.664E8
2020-04-13,2782.46,2782.46,2721.17,2761.63,5.27431E9,0.05,1756.8,1775.0,1739.5,1756.7,675.0,0.05,23698.93,23698.93,23095.35,23390.77,3.9432E8
2020-04-14,2805.1,2851.85,2805.1,2846.06,5.5674E9,0.05,1739.4,1744.9,1722.7,1727.2,642.0,0.05,23690.57,24040.58,23683.44,23949.76,4.8591E8
2020-04-15,2795.64,2801.88,2761.54,2783.36,5.20339E9,0.05,1731.0,1750.6,1715.0,1720.4,162.0,0.05,23600.72,23649.72,23233.32,23504.35,4.3763E8
2020-04-16,2799.34,2806.51,2764.32,2799.55,5.17999E9,0.05,1715.7,1725.0,1684.9,1689.2,223.0,0.05,23543.66,23598.08,23211.38,23537.68,4.7105E8
2020-04-17,2842.43,2879.22,2830.88,2874.56,5.79214E9,0.05,1686.0,1701.6,1680.0,1701.6,106.0,0.05,23817.15,24264.21,23817.15,24242.49,5.2595E8
2020-04-20,2845.62,2868.98,2820.43,2823.16,5.22016E9,0.05,1697.0,1707.1,1659.9,1678.2,666.0,0.05,24095.1,24108.69,23627.19,23650.44,4.2341E8
2020-04-21,2784.81,2785.54,2727.1,2736.56,5.07583E9,0.05,1696.0,1728.7,1684.8,1728.7,453.0,0.05,23365.25,23365.25,22941.88,23018.88,4.8514E8
2020-04-22,2787.89,2815.1,2775.95,2799.31,5.04966E9,0.05,1734.0,1745.1,1733.3,1733.3,482.0,0.05,23437.34,23613.1,23339.6,23475.82,3.5288E8
2020-04-23,2810.42,2844.9,2794.26,2797.8,5.75652E9,0.04,1744.0,1744.0,1714.5,1723.5,221.0,0.04,23543.09,23885.36,23483.35,23515.26,3.8929E8
2020-04-24,2812.64,2842.71,2791.76,2836.74,5.37448E9,0.05,1731.9,1731.9,1711.9,1711.9,169.0,0.05,23628.24,23826.0,23417.68,23775.27,3.7602E8
2020-04-27,2854.65,2887.72,2852.89,2878.48,5.19426E9,0.04,1716.6,1716.6,1707.1,1710.5,1255.0,0.04,23866.15,24207.65,23840.61,24133.78,3.8939E8
